feature_name,task,category,rf_importance_rank,selected_by_rfecv
t1_fix_dur_sd,T1,fixation,1,True
t4_revisit_count,T4,global,2,True
t5_total_read_time,T5,global,3,False
t4_sacc_count_fwd,T4,saccade,4,False
t4_fix_count,T4,fixation,5,False
t1_total_read_time,T1,global,6,False
t1_fix_per_line_mean,T1,fixation,7,False
t4_total_read_time,T4,global,8,False
t5_fix_per_line_mean,T5,fixation,9,False
t5_sacc_count_fwd,T5,saccade,10,True
t5_fix_count,T5,fixation,11,True
t4_gaze_linearity,T4,global,12,True
t5_fix_dur_sd,T5,fixation,13,True
t5_fix_per_line_sd,T5,fixation,14,False
t4_fix_per_line_mean,T4,fixation,15,False
t5_fix_dur_mean,T5,fixation,16,True
t5_gaze_linearity,T5,global,17,False
t1_sacc_count_fwd,T1,saccade,18,True
t5_fix_dur_median,T5,fixation,19,True
t4_sacc_amp_sd,T4,saccade,20,True
t1_gaze_linearity,T1,global,21,True
t1_fix_dur_mean,T1,fixation,22,True
t1_sacc_dur_mean,T1,saccade,23,True
t4_fix_per_line_sd,T4,fixation,24,True
t4_fix_dur_sd,T4,fixation,25,True
t4_sacc_dur_mean,T4,saccade,26,False
t1_fix_count,T1,fixation,27,True
t4_revisit_rate,T4,global,28,False
t1_revisit_count,T1,global,29,True
t5_sacc_dur_mean,T5,saccade,30,True
t1_revisit_rate,T1,global,31,False
t4_fix_dur_mean,T4,fixation,32,True
t1_sacc_amp_mean,T1,saccade,33,True
t5_revisit_rate,T5,global,34,False
t1_fix_dur_median,T1,fixation,35,True
t4_sacc_amp_mean,T4,saccade,36,False
t1_sacc_vel_mean,T1,saccade,37,False
t5_sacc_vel_mean,T5,saccade,38,False
t5_skip_rate,T5,fixation,39,False
t4_fix_dur_median,T4,fixation,40,True
t1_sacc_amp_sd,T1,saccade,41,True
t4_sacc_vel_mean,T4,saccade,42,False
t1_first_fix_dur,T1,fixation,43,False
t5_revisit_count,T5,global,44,True
t4_first_fix_dur,T4,fixation,45,False
t1_fix_per_line_sd,T1,fixation,46,False
t5_sacc_amp_mean,T5,saccade,47,True
t5_first_fix_dur,T5,fixation,48,False
t5_sacc_amp_sd,T5,saccade,49,False
t4_skip_rate,T4,fixation,50,False
t5_reread_rate,T5,global,51,False
t1_reread_rate,T1,global,52,False
t4_reread_rate,T4,global,53,False
